iter	RMSE
152	2520.973213
153	2520.771033
154	2520.657222
155	2520.469612
156	2520.384674
157	2520.302821
158	2520.121472
159	2520.072115
160	2519.977178
161	2519.87105
162	2519.819843
163	2519.740708
164	2519.626886
165	2519.499496
166	2519.400807
167	2519.332843
168	2519.250037
169	2519.082162
170	2519.004133
171	2518.893755
172	2518.748979
173	2518.682427
174	2518.572464
175	2518.44127
176	2518.393045
177	2518.171364
178	2518.028079
179	2517.984043
180	2517.929196
181	2517.807013
182	2517.669298
183	2517.495402
184	2517.311143
185	2517.225929
186	2517.033275
187	2516.911365
188	2516.821434
189	2516.649581
190	2516.569732
191	2516.559856
192	2516.469101
193	2516.362417
194	2516.271735
195	2516.18552
196	2516.036114
197	2515.963287
198	2515.820599
199	2515.6982
200	2515.618761
201	2515.463211
202	2515.418396
203	2515.332908
204	2515.203248
205	2515.092335
206	2514.957646
207	2514.870391
208	2514.7553
209	2514.499183
210	2514.382411
211	2514.283893
212	2514.213193
213	2514.086288
214	2513.923681
215	2513.843184
216	2513.769219
217	2513.706139
218	2513.614652
219	2513.466743
220	2513.322797
221	2513.250393
222	2513.01029
223	2512.95355
224	2512.861018
225	2512.754933
226	2512.663524
227	2512.564248
228	2512.458259
229	2512.372478
230	2512.247005
231	2512.206444
232	2512.104503
233	2512.019596
234	2511.923693
235	2511.837069
236	2511.731661
237	2511.616349
238	2511.456595
239	2511.261256
240	2511.183284
241	2511.11974
242	2510.971307
243	2510.851803
244	2510.737894
245	2510.606072
246	2510.45952
247	2510.336338
248	2510.2836
249	2510.160117
250	2510.077609
251	2509.973102
252	2509.946798
253	2509.877917
254	2509.781017
255	2509.688342
256	2509.578728
257	2509.500252
258	2509.383322
259	2509.22979
260	2509.061779
261	2508.959825
262	2508.885254
263	2508.809794
264	2508.719371
265	2508.644255
266	2508.562077
267	2508.505758
268	2508.430073
269	2508.347477
270	2508.230139
271	2508.146444
272	2508.042148
273	2507.963276
274	2507.938384
275	2507.83842
276	2507.717008
277	2507.645989
278	2507.547636
279	2507.458675
280	2507.357912
281	2507.281655
282	2507.210216
283	2507.096914
284	2507.034083
285	2507.004293
286	2506.92967
287	2506.829734
288	2506.669374
289	2506.587888
290	2506.516425
291	2506.417982
292	2506.326597
293	2506.293537
294	2506.228037
295	2506.158032
296	2506.090128
297	2505.992806
298	2505.971995
299	2505.915528
300	2505.834409
301	2505.745756
302	2505.587226
303	2505.441622
304	2505.341504
305	2505.256862
306	2505.189273
307	2505.096775
308	2504.956715
309	2504.878626
310	2504.741025
311	2504.710592
312	2504.687261
313	2504.593928
314	2504.574918
315	2504.447248
316	2504.385551
317	2504.207926
318	2504.147714
319	2504.060934
320	2504.014422
321	2503.906446
322	2503.830066
323	2503.744642
324	2503.613654
325	2503.45467
326	2503.355293
327	2503.293183
328	2503.154386
329	2503.044771
330	2502.951206
331	2502.773801
332	2502.636778
333	2502.5399
334	2502.442423
335	2502.345898
336	2502.305161
337	2502.289015
338	2502.230348
339	2502.175814
340	2502.082373
341	2501.985959
342	2501.891156
343	2501.810223
344	2501.681117
345	2501.593081
346	2501.505219
347	2501.419546
348	2501.279031
349	2501.226835
